2019-08-27 20:07:35,798 org.springframework.web.servlet.DispatcherServlet [http-nio-8762-exec-1] (FrameworkServlet.java:489) INFO  --> FrameworkServlet 'dispatcherServlet': initialization started
2019-08-27 20:07:35,997 org.springframework.web.servlet.DispatcherServlet [http-nio-8762-exec-1] (FrameworkServlet.java:508) INFO  --> FrameworkServlet 'dispatcherServlet': initialization completed in 198 ms
2019-08-27 20:07:36,057 com.flypay.controller.FacePayController [http-nio-8762-exec-1] (FacePayController.java:37) INFO  --> 设备的UUID是 : ffffffff-b5dc-550d-b5dc-550d00000000
2019-08-27 20:07:36,275 com.flypay.utils.StringUtil [http-nio-8762-exec-1] (StringUtil.java:17) INFO  --> 对字符串 :|ffffffff-b5dc-550d-b5dc-550d00000000|进行判断是否为空/串
2019-08-27 20:07:36,296 org.hibernate.hql.internal.QueryTranslatorFactoryInitiator [http-nio-8762-exec-1] (QueryTranslatorFactoryInitiator.java:47) INFO  --> HHH000397: Using ASTQueryTranslatorFactory
2019-08-27 20:07:36,407 org.hibernate.hql.internal.ast.HqlSqlWalker [http-nio-8762-exec-1] (HqlSqlWalker.java:992) WARN  --> [DEPRECATION] Encountered positional parameter near line 1, column 57 in HQL: [FROM com.flypay.model.pojo.EquipmentInfoPO WHERE uuid = ?].  Positional parameter are considered deprecated; use named parameters or JPA-style positional parameters instead.
2019-08-27 20:07:36,471 com.flypay.utils.StringUtil [http-nio-8762-exec-1] (StringUtil.java:17) INFO  --> 对字符串 :|ffffffff-b5dc-550d-b5dc-550d00000000|进行判断是否为空/串
2019-08-27 20:07:36,535 com.flypay.utils.StringUtil [http-nio-8762-exec-1] (StringUtil.java:17) INFO  --> 对字符串 :|192.168.0.104|进行判断是否为空/串
2019-08-27 20:09:45,167 com.flypay.controller.FacePayController [http-nio-8762-exec-5] (FacePayController.java:37) INFO  --> 设备的UUID是 : ffffffff-b5dc-550d-b5dc-550d00000000
2019-08-27 20:09:45,170 com.flypay.utils.StringUtil [http-nio-8762-exec-5] (StringUtil.java:17) INFO  --> 对字符串 :|ffffffff-b5dc-550d-b5dc-550d00000000|进行判断是否为空/串
2019-08-27 20:09:45,174 com.flypay.utils.StringUtil [http-nio-8762-exec-5] (StringUtil.java:17) INFO  --> 对字符串 :|ffffffff-b5dc-550d-b5dc-550d00000000|进行判断是否为空/串
2019-08-27 20:11:44,310 com.flypay.WebApplication [main] (StartupInfoLogger.java:48) INFO  --> Starting WebApplication on WIN-BCPPR4T9TIQ with PID 2212 (started by Administrator in E:\Work Space\COM\webservice\flypay-web)
